id,Season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2
1,BPL-2010,Chattogram,29-12-2010,Khulna Tigers,Comilla Victorians,Comilla Victorians,bat,normal,0,Khulna Tigers,0,7,Yasir Ali,Zahur Ahmed Chowdhury Stadium,Mahfuzur Rahman,Tanvir Ahmed
2,BPL-2010,Khulna,11-02-2010,Rangpur Riders,Rajshahi Kings,Rangpur Riders,bat,normal,0,Rajshahi Kings,62,0,Kamrul Islam Rabbi,Sheikh Abu Naser Stadium,Gazi Sohel,Mahfuzur Rahman
3,BPL-2010,Barishal,02-04-2010,Khulna Tigers,Rangpur Riders,Khulna Tigers,bat,normal,0,Rangpur Riders,50,0,Jason Roy,Barishal Divisional Stadium,Gazi Sohel,Sharfuddoula
4,BPL-2010,Rangpur,24-05-2010,Rangpur Riders,Dhaka Dominators,Rangpur Riders,bat,normal,0,Dhaka Dominators,0,3,Mohammad Nabi,Rangpur Cricket Garden,Sharfuddoula,Gazi Sohel
5,BPL-2010,Dhaka,01-06-2010,Barishal Bulls,Sylhet Strikers,Barishal Bulls,field,normal,0,Sylhet Strikers,25,0,Dwayne Bravo,Shere Bangla National Stadium,Sharfuddoula,Mahfuzur Rahman
6,BPL-2010,Dhaka,13-01-2010,Barishal Bulls,Dhaka Dominators,Barishal Bulls,bat,normal,0,Dhaka Dominators,0,10,Mustafizur Rahman,Shere Bangla National Stadium,Gazi Sohel,Masudur Rahman
7,BPL-2010,Khulna,31-07-2010,Sylhet Strikers,Rajshahi Kings,Rajshahi Kings,bat,normal,0,Rajshahi Kings,79,0,Mohammad Mithun,Sheikh Abu Naser Stadium,Sharfuddoula,Gazi Sohel
8,BPL-2010,Dhaka,20-10-2010,Rangpur Riders,Barishal Bulls,Rangpur Riders,field,normal,0,Barishal Bulls,0,10,Benny Howell,Shere Bangla National Stadium,Masudur Rahman,Sharfuddoula
9,BPL-2010,Chattogram,25-12-2010,Barishal Bulls,Dhaka Dominators,Dhaka Dominators,field,normal,0,Dhaka Dominators,5,0,Shakib Al Hasan,Zahur Ahmed Chowdhury Stadium,Gazi Sohel,Mahfuzur Rahman
10,BPL-2010,Chattogram,29-05-2010,Rangpur Riders,Dhaka Dominators,Rangpur Riders,field,normal,0,Dhaka Dominators,11,0,Mohammad Nabi,Zahur Ahmed Chowdhury Stadium,Gazi Sohel,Masudur Rahman
11,BPL-2010,Chattogram,16-12-2010,Rajshahi Kings,Dhaka Dominators,Rajshahi Kings,field,normal,0,Rajshahi Kings,52,0,Lendl Simmons,Zahur Ahmed Chowdhury Stadium,Masudur Rahman,Gazi Sohel
12,BPL-2010,Dhaka,26-05-2010,Rangpur Riders,Comilla Victorians,Rangpur Riders,bat,normal,0,Comilla Victorians,0,4,Benny Howell,Shere Bangla National Stadium,Tanvir Ahmed,Sharfuddoula
13,BPL-2010,Dhaka,27-11-2010,Dhaka Dominators,Comilla Victorians,Comilla Victorians,bat,normal,0,Dhaka Dominators,0,6,Mushfiqur Rahim,Shere Bangla National Stadium,Tanvir Ahmed,Sharfuddoula
14,BPL-2010,Khulna,19-05-2010,Comilla Victorians,Dhaka Dominators,Dhaka Dominators,field,normal,0,Dhaka Dominators,0,4,Mushfiqur Rahim,Sheikh Abu Naser Stadium,Mahfuzur Rahman,Masudur Rahman
15,BPL-2010,Sylhet,30-07-2010,Chattogram Challengers,Rajshahi Kings,Rajshahi Kings,field,normal,0,Rajshahi Kings,87,0,Afif Hossain,Sylhet International Cricket Stadium,Gazi Sohel,Masudur Rahman
16,BPL-2010,Sylhet,31-05-2010,Rajshahi Kings,Rangpur Riders,Rajshahi Kings,bat,normal,0,Rangpur Riders,0,2,Benny Howell,Sylhet International Cricket Stadium,Masudur Rahman,Mahfuzur Rahman
17,BPL-2010,Chattogram,26-02-2010,Comilla Victorians,Dhaka Dominators,Comilla Victorians,bat,normal,0,Dhaka Dominators,0,1,Mushfiqur Rahim,Zahur Ahmed Chowdhury Stadium,Sharfuddoula,Tanvir Ahmed
18,BPL-2010,Chattogram,01-05-2010,Barishal Bulls,Rangpur Riders,Barishal Bulls,bat,normal,0,Rangpur Riders,97,0,Benny Howell,Zahur Ahmed Chowdhury Stadium,Gazi Sohel,Masudur Rahman
19,BPL-2010,Barishal,22-03-2010,Barishal Bulls,Dhaka Dominators,Dhaka Dominators,field,normal,0,Barishal Bulls,0,6,Mahmudullah,Barishal Divisional Stadium,Tanvir Ahmed,Gazi Sohel
20,BPL-2010,Khulna,03-07-2010,Rangpur Riders,Rajshahi Kings,Rajshahi Kings,field,normal,0,Rajshahi Kings,29,0,Soumya Sarkar,Sheikh Abu Naser Stadium,Gazi Sohel,Masudur Rahman
21,BPL-2010,Khulna,26-03-2010,Rangpur Riders,Barishal Bulls,Barishal Bulls,bat,normal,0,Barishal Bulls,0,5,Benny Howell,Sheikh Abu Naser Stadium,Masudur Rahman,Tanvir Ahmed
22,BPL-2010,Rangpur,20-01-2010,Chattogram Challengers,Khulna Tigers,Khulna Tigers,field,normal,0,Khulna Tigers,0,10,Anamul Haque,Rangpur Cricket Garden,Masudur Rahman,Tanvir Ahmed
23,BPL-2010,Dhaka,15-11-2010,Khulna Tigers,Sylhet Strikers,Sylhet Strikers,bat,normal,0,Sylhet Strikers,57,0,Andre Russell,Shere Bangla National Stadium,Mahfuzur Rahman,Masudur Rahman
24,BPL-2010,Barishal,11-04-2010,Sylhet Strikers,Comilla Victorians,Sylhet Strikers,bat,normal,0,Sylhet Strikers,0,10,Litton Das,Barishal Divisional Stadium,Masudur Rahman,Tanvir Ahmed
25,BPL-2010,Rangpur,16-11-2010,Rajshahi Kings,Comilla Victorians,Rajshahi Kings,bat,normal,0,Comilla Victorians,0,10,Soumya Sarkar,Rangpur Cricket Garden,Sharfuddoula,Mahfuzur Rahman
26,BPL-2010,Rangpur,14-04-2010,Rajshahi Kings,Khulna Tigers,Khulna Tigers,bat,normal,0,Khulna Tigers,0,8,Anamul Haque,Rangpur Cricket Garden,Sharfuddoula,Masudur Rahman
27,BPL-2010,Chattogram,12-10-2010,Khulna Tigers,Barishal Bulls,Barishal Bulls,bat,normal,0,Khulna Tigers,0,3,Mustafizur Rahman,Zahur Ahmed Chowdhury Stadium,Masudur Rahman,Sharfuddoula
28,BPL-2010,Khulna,13-08-2010,Sylhet Strikers,Comilla Victorians,Sylhet Strikers,field,normal,0,Comilla Victorians,96,0,Mohammad Mithun,Sheikh Abu Naser Stadium,Gazi Sohel,Mahfuzur Rahman
29,BPL-2010,Dhaka,13-01-2010,Rangpur Riders,Rajshahi Kings,Rajshahi Kings,field,normal,0,Rangpur Riders,66,0,Jason Roy,Shere Bangla National Stadium,Sharfuddoula,Tanvir Ahmed
30,BPL-2010,Barishal,06-09-2010,Comilla Victorians,Chattogram Challengers,Comilla Victorians,bat,normal,0,Comilla Victorians,0,9,Sunil Narine,Barishal Divisional Stadium,Mahfuzur Rahman,Sharfuddoula
31,BPL-2010,Khulna,28-04-2010,Chattogram Challengers,Barishal Bulls,Chattogram Challengers,bat,normal,0,Chattogram Challengers,0,9,Mustafizur Rahman,Sheikh Abu Naser Stadium,Sharfuddoula,Masudur Rahman
32,BPL-2010,Rangpur,14-02-2010,Comilla Victorians,Dhaka Dominators,Dhaka Dominators,bat,normal,0,Dhaka Dominators,0,3,Mushfiqur Rahim,Rangpur Cricket Garden,Tanvir Ahmed,Masudur Rahman
33,BPL-2010,Barishal,09-02-2010,Dhaka Dominators,Sylhet Strikers,Dhaka Dominators,bat,normal,0,Sylhet Strikers,0,7,Colin Munro,Barishal Divisional Stadium,Gazi Sohel,Tanvir Ahmed
34,BPL-2010,Khulna,06-05-2010,Barishal Bulls,Dhaka Dominators,Dhaka Dominators,field,normal,0,Dhaka Dominators,13,0,Shakib Al Hasan,Sheikh Abu Naser Stadium,Mahfuzur Rahman,Gazi Sohel
35,BPL-2010,Sylhet,20-07-2010,Rangpur Riders,Khulna Tigers,Rangpur Riders,bat,normal,0,Rangpur Riders,68,0,Shoaib Malik,Sylhet International Cricket Stadium,Gazi Sohel,Sharfuddoula
36,BPL-2010,Barishal,13-02-2010,Rangpur Riders,Dhaka Dominators,Dhaka Dominators,field,normal,0,Dhaka Dominators,0,1,Mushfiqur Rahim,Barishal Divisional Stadium,Mahfuzur Rahman,Gazi Sohel
37,BPL-2010,Khulna,23-03-2010,Sylhet Strikers,Dhaka Dominators,Dhaka Dominators,field,normal,0,Sylhet Strikers,49,0,Mohammad Mithun,Sheikh Abu Naser Stadium,Mahfuzur Rahman,Tanvir Ahmed
38,BPL-2010,Dhaka,05-08-2010,Sylhet Strikers,Comilla Victorians,Sylhet Strikers,bat,normal,0,Sylhet Strikers,24,0,Sunil Narine,Shere Bangla National Stadium,Tanvir Ahmed,Gazi Sohel
39,BPL-2010,Rangpur,25-12-2010,Comilla Victorians,Khulna Tigers,Khulna Tigers,bat,normal,0,Comilla Victorians,0,1,Faf du Plessis,Rangpur Cricket Garden,Mahfuzur Rahman,Gazi Sohel
40,BPL-2010,Khulna,21-04-2010,Barishal Bulls,Sylhet Strikers,Sylhet Strikers,bat,normal,0,Barishal Bulls,0,4,Dwayne Bravo,Sheikh Abu Naser Stadium,Masudur Rahman,Tanvir Ahmed
41,BPL-2011,Barishal,21-09-2010,Sylhet Strikers,Rajshahi Kings,Sylhet Strikers,bat,normal,0,Sylhet Strikers,0,3,Mashrafe Mortaza,Barishal Divisional Stadium,Tanvir Ahmed,Gazi Sohel
42,BPL-2011,Chattogram,02-06-2010,Barishal Bulls,Sylhet Strikers,Barishal Bulls,field,normal,0,Barishal Bulls,83,0,David Miller,Zahur Ahmed Chowdhury Stadium,Sharfuddoula,Mahfuzur Rahman
43,BPL-2011,Rangpur,12-01-2010,Khulna Tigers,Chattogram Challengers,Khulna Tigers,bat,normal,0,Khulna Tigers,13,0,Yasir Ali,Rangpur Cricket Garden,Sharfuddoula,Gazi Sohel
44,BPL-2011,Rangpur,18-09-2010,Sylhet Strikers,Barishal Bulls,Barishal Bulls,bat,normal,0,Barishal Bulls,37,0,Shamsur Rahman,Rangpur Cricket Garden,Gazi Sohel,Sharfuddoula
45,BPL-2011,Rangpur,10-12-2010,Rangpur Riders,Khulna Tigers,Rangpur Riders,field,normal,0,Khulna Tigers,99,0,Yasir Ali,Rangpur Cricket Garden,Masudur Rahman,Sharfuddoula
46,BPL-2011,Chattogram,30-07-2010,Khulna Tigers,Chattogram Challengers,Khulna Tigers,field,normal,0,Khulna Tigers,0,8,Yasir Ali,Zahur Ahmed Chowdhury Stadium,Gazi Sohel,Masudur Rahman
47,BPL-2011,Rangpur,03-04-2010,Comilla Victorians,Rangpur Riders,Comilla Victorians,field,normal,0,Rangpur Riders,98,0,Shoaib Malik,Rangpur Cricket Garden,Tanvir Ahmed,Gazi Sohel
48,BPL-2011,Barishal,22-05-2010,Barishal Bulls,Dhaka Dominators,Dhaka Dominators,field,normal,0,Dhaka Dominators,0,2,Shamsur Rahman,Barishal Divisional Stadium,Tanvir Ahmed,Masudur Rahman
49,BPL-2011,Barishal,10-09-2010,Chattogram Challengers,Comilla Victorians,Comilla Victorians,bat,normal,0,Comilla Victorians,0,5,Faf du Plessis,Barishal Divisional Stadium,Tanvir Ahmed,Sharfuddoula
50,BPL-2011,Chattogram,14-08-2010,Comilla Victorians,Rajshahi Kings,Rajshahi Kings,field,normal,0,Rajshahi Kings,74,0,Imrul Kayes,Zahur Ahmed Chowdhury Stadium,Gazi Sohel,Mahfuzur Rahman
51,BPL-2011,Khulna,17-12-2010,Khulna Tigers,Sylhet Strikers,Khulna Tigers,field,normal,0,Khulna Tigers,0,3,Shahid Afridi,Sheikh Abu Naser Stadium,Tanvir Ahmed,Gazi Sohel
52,BPL-2011,Barishal,10-03-2010,Rajshahi Kings,Rangpur Riders,Rangpur Riders,field,normal,0,Rajshahi Kings,3,0,Kamrul Islam Rabbi,Barishal Divisional Stadium,Mahfuzur Rahman,Gazi Sohel
53,BPL-2011,Chattogram,22-12-2010,Rangpur Riders,Sylhet Strikers,Sylhet Strikers,bat,normal,0,Rangpur Riders,0,8,Mohammad Nabi,Zahur Ahmed Chowdhury Stadium,Tanvir Ahmed,Sharfuddoula
54,BPL-2011,Barishal,13-06-2010,Sylhet Strikers,Barishal Bulls,Sylhet Strikers,bat,normal,0,Barishal Bulls,43,0,Mashrafe Mortaza,Barishal Divisional Stadium,Tanvir Ahmed,Gazi Sohel
55,BPL-2011,Barishal,14-10-2010,Dhaka Dominators,Barishal Bulls,Barishal Bulls,bat,normal,0,Dhaka Dominators,28,0,Dwayne Bravo,Barishal Divisional Stadium,Gazi Sohel,Sharfuddoula
56,BPL-2011,Rangpur,08-04-2010,Rangpur Riders,Dhaka Dominators,Dhaka Dominators,field,normal,0,Rangpur Riders,35,0,Shakib Al Hasan,Rangpur Cricket Garden,Tanvir Ahmed,Gazi Sohel
57,BPL-2011,Rangpur,30-04-2010,Rajshahi Kings,Rangpur Riders,Rajshahi Kings,bat,normal,0,Rajshahi Kings,0,8,Shoaib Malik,Rangpur Cricket Garden,Tanvir Ahmed,Mahfuzur Rahman
58,BPL-2011,Dhaka,13-05-2010,Khulna Tigers,Chattogram Challengers,Khulna Tigers,bat,normal,0,Chattogram Challengers,48,0,Shahid Afridi,Shere Bangla National Stadium,Sharfuddoula,Mahfuzur Rahman
59,BPL-2011,Khulna,03-09-2010,Sylhet Strikers,Barishal Bulls,Barishal Bulls,bat,normal,0,Sylhet Strikers,94,0,David Miller,Sheikh Abu Naser Stadium,Sharfuddoula,Mahfuzur Rahman
60,BPL-2011,Dhaka,01-12-2010,Khulna Tigers,Sylhet Strikers,Khulna Tigers,field,normal,0,Sylhet Strikers,0,8,Shahid Afridi,Shere Bangla National Stadium,Gazi Sohel,Sharfuddoula
61,BPL-2011,Khulna,04-11-2010,Barishal Bulls,Khulna Tigers,Khulna Tigers,field,normal,0,Khulna Tigers,0,7,Shamsur Rahman,Sheikh Abu Naser Stadium,Tanvir Ahmed,Gazi Sohel
62,BPL-2011,Khulna,03-03-2010,Dhaka Dominators,Sylhet Strikers,Sylhet Strikers,bat,normal,0,Sylhet Strikers,35,0,Mushfiqur Rahim,Sheikh Abu Naser Stadium,Masudur Rahman,Mahfuzur Rahman
63,BPL-2011,Chattogram,03-07-2010,Dhaka Dominators,Sylhet Strikers,Dhaka Dominators,bat,normal,0,Dhaka Dominators,0,8,Najmul Hossain Shanto,Zahur Ahmed Chowdhury Stadium,Tanvir Ahmed,Sharfuddoula
64,BPL-2011,Khulna,27-01-2010,Comilla Victorians,Barishal Bulls,Barishal Bulls,bat,normal,0,Comilla Victorians,0,3,David Miller,Sheikh Abu Naser Stadium,Masudur Rahman,Mahfuzur Rahman
65,BPL-2011,Barishal,07-11-2010,Dhaka Dominators,Chattogram Challengers,Chattogram Challengers,field,normal,0,Dhaka Dominators,84,0,Shakib Al Hasan,Barishal Divisional Stadium,Sharfuddoula,Gazi Sohel
66,BPL-2011,Rangpur,23-03-2010,Khulna Tigers,Sylhet Strikers,Sylhet Strikers,field,normal,0,Sylhet Strikers,0,7,Mashrafe Mortaza,Rangpur Cricket Garden,Gazi Sohel,Mahfuzur Rahman
67,BPL-2011,Chattogram,09-02-2010,Comilla Victorians,Rajshahi Kings,Comilla Victorians,bat,normal,0,Rajshahi Kings,37,0,Imrul Kayes,Zahur Ahmed Chowdhury Stadium,Gazi Sohel,Masudur Rahman
68,BPL-2011,Barishal,12-11-2010,Dhaka Dominators,Rangpur Riders,Rangpur Riders,bat,normal,0,Rangpur Riders,0,1,Mushfiqur Rahim,Barishal Divisional Stadium,Gazi Sohel,Tanvir Ahmed
69,BPL-2011,Chattogram,03-04-2010,Dhaka Dominators,Chattogram Challengers,Chattogram Challengers,bat,normal,0,Chattogram Challengers,0,3,Shakib Al Hasan,Zahur Ahmed Chowdhury Stadium,Tanvir Ahmed,Mahfuzur Rahman
70,BPL-2011,Sylhet,22-11-2010,Chattogram Challengers,Khulna Tigers,Chattogram Challengers,bat,normal,0,Khulna Tigers,0,7,Chris Gayle,Sylhet International Cricket Stadium,Mahfuzur Rahman,Gazi Sohel
71,BPL-2011,Khulna,14-11-2010,Barishal Bulls,Rangpur Riders,Barishal Bulls,bat,normal,0,Barishal Bulls,7,0,Shamsur Rahman,Sheikh Abu Naser Stadium,Masudur Rahman,Sharfuddoula
72,BPL-2011,Rangpur,15-07-2010,Comilla Victorians,Rangpur Riders,Rangpur Riders,bat,normal,0,Rangpur Riders,56,0,Faf du Plessis,Rangpur Cricket Garden,Mahfuzur Rahman,Tanvir Ahmed
73,BPL-2011,Rangpur,18-07-2010,Comilla Victorians,Chattogram Challengers,Comilla Victorians,field,normal,0,Chattogram Challengers,99,0,Afif Hossain,Rangpur Cricket Garden,Tanvir Ahmed,Masudur Rahman
74,BPL-2011,Khulna,05-06-2010,Comilla Victorians,Rangpur Riders,Comilla Victorians,bat,normal,0,Rangpur Riders,3,0,Jason Roy,Sheikh Abu Naser Stadium,Masudur Rahman,Tanvir Ahmed
75,BPL-2011,Chattogram,13-06-2010,Comilla Victorians,Dhaka Dominators,Dhaka Dominators,bat,normal,0,Comilla Victorians,0,3,Litton Das,Zahur Ahmed Chowdhury Stadium,Mahfuzur Rahman,Sharfuddoula
76,BPL-2011,Khulna,12-09-2010,Rajshahi Kings,Dhaka Dominators,Dhaka Dominators,field,normal,0,Rajshahi Kings,20,0,Lendl Simmons,Sheikh Abu Naser Stadium,Mahfuzur Rahman,Gazi Sohel
77,BPL-2011,Barishal,06-01-2010,Khulna Tigers,Chattogram Challengers,Chattogram Challengers,field,normal,0,Khulna Tigers,15,0,Afif Hossain,Barishal Divisional Stadium,Tanvir Ahmed,Mahfuzur Rahman
78,BPL-2011,Khulna,02-09-2010,Rangpur Riders,Dhaka Dominators,Dhaka Dominators,field,normal,0,Rangpur Riders,88,0,Shoaib Malik,Sheikh Abu Naser Stadium,Gazi Sohel,Mahfuzur Rahman
79,BPL-2011,Sylhet,23-03-2010,Comilla Victorians,Khulna Tigers,Khulna Tigers,bat,normal,0,Khulna Tigers,33,0,Faf du Plessis,Sylhet International Cricket Stadium,Mahfuzur Rahman,Sharfuddoula
80,BPL-2011,Dhaka,07-11-2010,Comilla Victorians,Chattogram Challengers,Chattogram Challengers,field,normal,0,Comilla Victorians,0,10,Nasum Ahmed,Shere Bangla National Stadium,Sharfuddoula,Mahfuzur Rahman
81,BPL-2012,Sylhet,26-04-2010,Comilla Victorians,Dhaka Dominators,Dhaka Dominators,field,normal,0,Comilla Victorians,66,0,Sunil Narine,Sylhet International Cricket Stadium,Tanvir Ahmed,Sharfuddoula
82,BPL-2012,Dhaka,26-01-2010,Rajshahi Kings,Chattogram Challengers,Chattogram Challengers,field,normal,0,Rajshahi Kings,42,0,Soumya Sarkar,Shere Bangla National Stadium,Masudur Rahman,Sharfuddoula
83,BPL-2012,Chattogram,04-04-2010,Comilla Victorians,Chattogram Challengers,Chattogram Challengers,bat,normal,0,Chattogram Challengers,55,0,Chris Gayle,Zahur Ahmed Chowdhury Stadium,Gazi Sohel,Mahfuzur Rahman
84,BPL-2012,Dhaka,06-07-2010,Comilla Victorians,Dhaka Dominators,Comilla Victorians,bat,normal,0,Comilla Victorians,38,0,Shakib Al Hasan,Shere Bangla National Stadium,Sharfuddoula,Mahfuzur Rahman
85,BPL-2012,Khulna,05-03-2010,Dhaka Dominators,Comilla Victorians,Comilla Victorians,bat,normal,0,Comilla Victorians,60,0,Imrul Kayes,Sheikh Abu Naser Stadium,Masudur Rahman,Mahfuzur Rahman
86,BPL-2012,Khulna,12-11-2010,Comilla Victorians,Sylhet Strikers,Comilla Victorians,bat,normal,0,Sylhet Strikers,0,8,Imrul Kayes,Sheikh Abu Naser Stadium,Masudur Rahman,Mahfuzur Rahman
87,BPL-2012,Chattogram,16-07-2010,Khulna Tigers,Chattogram Challengers,Chattogram Challengers,field,normal,0,Khulna Tigers,0,10,Mehidy Hasan,Zahur Ahmed Chowdhury Stadium,Tanvir Ahmed,Sharfuddoula
88,BPL-2012,Khulna,25-06-2010,Chattogram Challengers,Sylhet Strikers,Sylhet Strikers,field,normal,0,Chattogram Challengers,71,0,Afif Hossain,Sheikh Abu Naser Stadium,Sharfuddoula,Mahfuzur Rahman
89,BPL-2012,Dhaka,29-07-2010,Comilla Victorians,Dhaka Dominators,Comilla Victorians,bat,normal,0,Dhaka Dominators,0,5,Imrul Kayes,Shere Bangla National Stadium,Sharfuddoula,Mahfuzur Rahman
90,BPL-2012,Sylhet,24-08-2010,Comilla Victorians,Dhaka Dominators,Dhaka Dominators,bat,normal,0,Comilla Victorians,0,4,Faf du Plessis,Sylhet International Cricket Stadium,Gazi Sohel,Masudur Rahman
